date,session_key,air_temperature,track_temperature,rainfall,wind_speed,meeting_key,wind_direction,pressure,humidity
2023-03-19T16:01:59.956000+00:00,7779,26.0,34.0,0,2.7,1142,315,1010.5,62.0
2023-03-19T16:02:59.955000+00:00,7779,26.0,34.1,0,2.9,1142,305,1010.5,61.0
2023-03-19T16:03:59.954000+00:00,7779,26.0,34.2,0,2.7,1142,325,1010.5,61.0
2023-03-19T16:04:59.953000+00:00,7779,26.0,34.2,0,2.7,1142,325,1010.5,61.0
2023-03-19T16:05:59.952000+00:00,7779,26.0,34.3,0,2.7,1142,322,1010.5,60.0
2023-03-19T16:06:59.951000+00:00,7779,26.0,34.2,0,3.0,1142,334,1010.5,61.0
2023-03-19T16:07:59.950000+00:00,7779,26.0,34.0,0,3.4,1142,320,1010.5,61.0
2023-03-19T16:08:59.948000+00:00,7779,26.0,34.0,0,2.5,1142,325,1010.7,62.0
2023-03-19T16:09:59.947000+00:00,7779,26.0,34.0,0,2.7,1142,341,1010.5,62.0
2023-03-19T16:10:59.946000+00:00,7779,26.0,34.0,0,2.9,1142,318,1010.5,62.0
2023-03-19T16:11:59.961000+00:00,7779,26.0,34.0,0,3.2,1142,327,1010.7,62.0
2023-03-19T16:12:59.960000+00:00,7779,26.0,33.7,0,3.4,1142,330,1010.7,62.0
2023-03-19T16:13:59.959000+00:00,7779,26.0,33.7,0,2.5,1142,323,1010.7,61.0
2023-03-19T16:14:59.958000+00:00,7779,26.0,34.1,0,3.0,1142,315,1010.7,60.0
2023-03-19T16:15:59.957000+00:00,7779,26.0,33.9,0,3.5,1142,312,1010.5,61.0
2023-03-19T16:16:59.955000+00:00,7779,26.0,33.9,0,3.7,1142,324,1010.5,61.0
2023-03-19T16:18:00.001000+00:00,7779,26.0,33.9,0,3.2,1142,330,1010.5,61.0
2023-03-19T16:18:59.953000+00:00,7779,26.0,33.3,0,2.7,1142,324,1010.5,61.0
2023-03-19T16:19:59.952000+00:00,7779,26.0,33.4,0,3.2,1142,316,1010.5,61.0
2023-03-19T16:20:59.982000+00:00,7779,26.0,33.4,0,3.5,1142,335,1010.5,61.0
2023-03-19T16:21:59.966000+00:00,7779,26.0,33.3,0,3.5,1142,326,1010.5,61.0
2023-03-19T16:22:59.949000+00:00,7779,26.0,33.3,0,2.2,1142,331,1010.5,62.0
2023-03-19T16:23:59.948000+00:00,7779,26.0,33.3,0,3.0,1142,329,1010.5,62.0
2023-03-19T16:24:59.947000+00:00,7779,26.1,33.3,0,2.7,1142,330,1010.5,62.0
2023-03-19T16:25:59.961000+00:00,7779,26.2,33.3,0,2.7,1142,331,1010.7,61.0
2023-03-19T16:26:59.960000+00:00,7779,26.2,33.0,0,2.7,1142,339,1010.5,61.0
2023-03-19T16:27:59.959000+00:00,7779,26.3,33.0,0,2.9,1142,335,1010.7,59.0
2023-03-19T16:28:59.958000+00:00,7779,26.3,33.1,0,2.4,1142,329,1010.7,60.0
2023-03-19T16:29:59.957000+00:00,7779,26.4,33.1,0,2.0,1142,317,1010.7,59.0
2023-03-19T16:30:59.956000+00:00,7779,26.4,33.9,0,2.9,1142,308,1010.7,59.0
2023-03-19T16:31:59.955000+00:00,7779,26.4,33.9,0,2.5,1142,316,1010.7,58.0
2023-03-19T16:32:59.954000+00:00,7779,26.3,33.5,0,2.7,1142,317,1010.7,58.0
2023-03-19T16:33:59.953000+00:00,7779,26.3,33.1,0,2.5,1142,303,1010.7,58.0
2023-03-19T16:34:59.951000+00:00,7779,26.2,33.1,0,2.7,1142,293,1010.7,57.0
2023-03-19T16:35:59.950000+00:00,7779,26.1,32.9,0,2.5,1142,317,1010.7,58.0
2023-03-19T16:36:59.965000+00:00,7779,26.1,32.5,0,3.2,1142,314,1010.7,59.0
2023-03-19T16:37:59.979000+00:00,7779,26.1,32.4,0,2.9,1142,318,1010.7,58.0
2023-03-19T16:39:00.010000+00:00,7779,26.1,32.5,0,2.7,1142,291,1010.9,58.0
2023-03-19T16:40:00.024000+00:00,7779,26.0,32.5,0,2.2,1142,316,1010.7,58.0
2023-03-19T16:41:00.039000+00:00,7779,26.0,32.5,0,2.5,1142,330,1010.9,59.0
2023-03-19T16:42:00.053000+00:00,7779,26.0,32.5,0,2.7,1142,319,1010.9,58.0
2023-03-19T16:43:00.052000+00:00,7779,26.0,32.5,0,2.4,1142,299,1010.7,58.0
2023-03-19T16:44:00.051000+00:00,7779,26.0,32.1,0,2.9,1142,329,1010.9,58.0
2023-03-19T16:45:00.081000+00:00,7779,26.0,32.5,0,2.2,1142,338,1010.9,58.0
2023-03-19T16:46:00.096000+00:00,7779,26.0,32.0,0,2.5,1142,311,1010.7,59.0
